投票所編號,投票所地名,投票所地址,投票所里別,,,,,
69,大湖國小課輔教室(二),臺北市內湖區大湖里大湖山莊街170號,大湖里14-25,,,,,
70,臺北市金龍金龍發展中心1樓,臺北市內湖區金龍里金龍路136之1號1樓,金龍里1-10,,,,,
71,金龍區民活動中心2樓,臺北市內湖區金龍里金龍路136之1號2樓,金龍里11-23,,,,,
72,臺北市金龍發展中心地下室,臺北市內湖區金瑞里金龍路136之1號地下室,金瑞里1-8 23-24,,,,,
73,內湖路3段294號民宅地下室,臺北市內湖區金瑞里內湖路3段294號,金瑞里9-22,,,,,
74,碧山區民活動中心1,臺北市內湖區碧山里內湖路3段60巷8號地下室1樓,碧山里4-12,,,,,
75,碧山區民活動中心2,臺北市內湖區碧山里內湖路3段60巷8號地下室1樓,碧山里13-22,,,,,
76,玄明宮,臺北市內湖區碧山里碧山路28號,碧山里1-3,,,,,
77,金城春曉社區1樓,臺北市內湖區紫雲里康寧路1段267號,紫雲里3、8-12、14-18、23,,,,,
78,康寧國小1年4 班教室,臺北市內湖區星雲街121號,紫雲里1-2、4-7、13、19-22,,,,,
79,康寧國小1年3班教室,臺北市內湖區清白里星雲街121號,清白里1-9,,,,,
80,康寧國小1年2班教室,臺北市內湖區清白里星雲街121號,清白里10-21,,,,,
81,康寧國小1年1班教室,臺北市內湖區清白里星雲街121號,清白里22-30,,,,,
82,明湖國中8年20班教室,臺北市內湖區葫洲里康寧路3段60號,葫洲里1-11,,,,,
83,明湖國中9年20班教室,臺北市內湖區葫洲里康寧路3段60號,葫洲里12-20,,,,,
84,內湖國中701教室,臺北市內湖區紫陽里陽光街1號,紫陽里1-2、11-15,,,,,
85,內湖高中321教室,臺北市內湖區紫陽里文德路218號,紫陽里3-10,,,,,
86,內湖高中120教室,臺北市內湖區紫陽里文德路218號,紫陽里16-22,,,,,
87,海軍湖光新城自治會,臺北市內湖區瑞陽里文德路66巷14弄2號,瑞陽里1、5、11、20-25、28 ,,,,,
88,瑞陽里里民活動場所,臺北市內湖區瑞陽里文德路66巷69弄10號,瑞陽里2-3、6、9、10、13-14、18,,,,,
89,陽光區民活動中心(內),臺北市內湖區瑞陽里文德路66巷38弄14號,瑞陽里4、7-8、12、15-17、19、26-27 ,,,,,
90,瑞光里里民活動場所,臺北市內湖區瑞光里陽光街291號,瑞光里1-10,,,,,
91,陽光區民活動中心(外),臺北市內湖區瑞光里文德路66巷38弄14號,瑞光里11-20,,,,,
92,南湖國小1年3班教室,臺北市內湖區五分里康寧路3段200號,五分里1-2、18-21、23-28、32,,,,,
93,東湖國小116 教室,臺北市內湖區五分里東湖路115號,五分里9-13、22、30、33-34,,,,,
94,東湖國小105教室,臺北市內湖區五分里東湖路115號,五分里3-8、14-17、29、31,,,,,
95,東湖國小103教室,臺北市內湖區東湖里東湖路115號,東湖里1-6,,,,,
96,東湖國小107教室,臺北市內湖區東湖里東湖路115號,東湖里7-13,,,,,
97,東湖國小108教室,臺北市內湖區東湖里東湖路115號,東湖里14-20,,,,,
98,東湖國中701教室,臺北市內湖區樂康里康樂街131號,樂康里1-8,,,,,
99,東湖國中702教室,臺北市內湖區樂康里康樂街131號,樂康里9-18,,,,,
100,東湖國中703教室,臺北市內湖區樂康里康樂街131號,樂康里19-26,,,,,
101,七星生態花園專業教室一,臺北市內湖區內溝里康樂街191號臨16號,內溝里11-16,,,,,
102,七星生態花園專業教室二,臺北市內湖區內溝里康樂街191號臨16號 ,內溝里1、6、8、17,,,,,
103,內溝溪生態展示館,臺北市內湖區內溝里康樂街236-3號,內溝里2-5、7、9、10,,,,,
104,週美里里民活動廣場,臺北市內湖區週美里潭美街100號,週美里1-7,,,,,
105,週美里里民活動廣場,臺北市內湖區週美里潭美街100號,週美里8-16,,,,,
106,美善公園,臺北市內湖區週美里行善路59巷20弄,週美里17-30,,,,,
107,福音貴格教會,臺北市內湖區行善里新明路452號,行善里1-13,,,,,
108,行善區民活動中心大廳(一),臺北市內湖區行善里行善路25巷13號2樓,行善里14-22,,,,,
109,潭美國小1年1班教室,臺北市內湖區石潭里新明路22號,石潭里1-20 ,,,,,
110,三民國中8年2班教室,臺北市內湖區湖興里民權東路45號,湖興里1-13,,,,,
111,三民國中8年3班教室,臺北市內湖區湖興里民權東路45號,湖興里14-25,,,,,
112,三民國中8年4班教室,臺北市內湖區湖元里民權東路45號,湖元里1-11,,,,,
113,三民國中8年5班教室,臺北市內湖區湖元里民權東路45號,湖元里12-20,,,,,
114,東湖國小110教室,臺北市內湖區安湖里東湖路115號,安湖里1-8、13、14,,,,,
115,東湖國小113教室,臺北市內湖區安湖里東湖路115號,安湖里9-12、15-20,,,,,
116,大湖國小活動教室(四),臺北市內湖區秀湖里大湖山莊街170號,秀湖里1-14,,,,,
117,大湖國小自然教室,臺北市內湖區秀湖里大湖山莊街170號,秀湖里15-25,,,,,
118,安泰福德宮,臺北市內湖區安泰里安泰街54巷1號對面,安泰里1-7,,,,,
119,綠之湖公寓大廈管理委員會,臺北市內湖區安泰里安泰街87-93號等,安泰里8-15,,,,,
120,麗湖國小社區成長教室,臺北市內湖區金湖里金湖路363巷8號,金湖里1-8,,,,,
121,麗湖國小資源班教室(一),臺北市內湖區金湖里金湖路363巷8號,金湖里9-15,,,,,
122,麗湖國小資源班教室(二),臺北市內湖區金湖里金湖路363巷8號 ,金湖里16-26,,,,,
123,康寧醫護暨管理專科學校（1樓藝文中心）,臺北市內湖區康寧里康寧路3段75巷137號,康寧里1-5、14-15,,,,,
124,明湖國小英文教室,臺北市內湖區康寧里康寧路3段75巷137號,康寧里6-13、16,,,,,
125,明湖國小2年1班教室,臺北市內湖區康寧里康寧路3段75巷137號,康寧里17-23,,,,,
126,明湖國小2年2班教室,臺北市內湖區明湖里康寧路3段105號,明湖里1-11,,,,,
127,明湖國小2年3班教室,臺北市內湖區明湖里康寧路3段105號,明湖里12-20,,,,,
128,內湖垃圾焚化廠能源利用中心1樓大廳,臺北市內湖區蘆洲里安康路290號（葫蘆洲運動公園內旁建物）,蘆洲里1-5,,,,,
129,麗山國小(幼兒園餐廳),臺北市內湖區麗山里港華街100號,麗山里1-9,,,,,
130,麗山國小(交通安全教室),臺北市內湖區麗山里港華街100號,麗山里10-16,,,,,
131,寶湖里里民活動場所,臺北市內湖區寶湖里民權東路6段123巷22-1號,寶湖里1-5、16-19,,,,,
132,第一人稱社區大廳,臺北市內湖區寶湖里民權東路6段123巷24號1樓,寶湖里9-15、20、24,,,,,
133,麗湖國小資源班辦公室,臺北市內湖區寶湖里金湖路363巷8號,寶湖里6-8、21-23、25-26,,,,,
134,南湖國小1年4班教室,臺北市內湖區南湖里康寧路3段200號,南湖里1-6,,,,,
135,南湖國小1年5班教室,臺北市內湖區南湖里康寧路3段200號,南湖里7-11,,,,,
,,,,,,,,
